dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;største_parti;pop_up
712170;Suldrup;4;Suldrup Kro;840;88;403594;Hjedsbækvej 326, 9541 Suldrup;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Suldrup Kro<br>"
705168;Veggerby;11;Hjeds Kultur og Forsamlingshus;840;88;403594;Kirketerpvej 60, Kirketerp, 9541 Suldrup;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hjeds Kultur og Forsamlingshus<br>"
701822;Øster Hornum;7;Øster Hornum Forsamlingshus;840;88;403594;Nibevej 177, Øster Hornum, 9530 Støvring;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Øster Hornum Forsamlingshus<br>"
706392;Ravnkilde;9;Ravnkilde Forsamlingshus;840;88;403594;Bygaden 19, Ravnkilde, 9610 Nørager;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ravnkilde Forsamlingshus<br>"
707882;Støvring;1;Støvring Hallen;840;88;403594;Bavnebakken 103, 9530 Støvring;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Støvring Hallen<br>"
703572;Terndrup;3;Terndrup Idrætscenter;840;88;403594;Terndrup Halvej 3, 9575 Terndrup;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Terndrup Idrætscenter<br>"
711096;Bælum;8;Østhimmerlands Friskole;840;88;403594;Skolevej 2, 9574 Bælum;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Østhimmerlands Friskole<br>"
712144;Blenstrup;10;Blenstrup Hallen;840;88;403594;Blenstrup Halvej 2, 9520 Skørping;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Blenstrup Hallen<br>"
709652;Haverslev;6;Selskabslokalerne Haverslev Hallen;840;88;403594;Strandvejen 21, Haverslev, 9610 Nørager;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Selskabslokalerne Haverslev Hallen<br>"
709658;Skørping;2;Skørping Idrætscenter;840;88;403594;Himmerlandsvej 59, 9520 Skørping;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Skørping Idrætscenter<br>"
712164;Nørager;5;Kig Ind;840;88;403594;Vestermarksvej 2, 9610 Nørager;Rebild;389204;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Kig Ind<br>"
